Value_SP500_REAL_PRICE_MONTH,Value_SP500_DIV_YIELD_MONTH,Value_SP500_PE_RATIO_MONTH,Value_SHILLER_PE_RATIO_MONTH,Value_SP500_EARNINGS_YIELD_MONTH,Value_SP500_INFLADJ_MONTH,Value_SP500_PSR_QUARTER,Value_SP500_DIV_MONTH,Value_SP500_DIV_YEAR,Value_SP500_DIV_GROWTH_YEAR,Value_SP500_DIV_GROWTH_QUARTER,Value_SP500_PBV_RATIO_QUARTER,Value_SHILLER_PE_RATIO_YEAR,Value_SP500_PE_RATIO_YEAR,Value_SP500_DIV_YIELD_YEAR,Value_SP500_PSR_YEAR,Value_SP500_EARNINGS_YIELD_YEAR,Value_SP500_PBV_RATIO_YEAR,Value_SP500_INFLADJ_YEAR,Value_SP500_SALES_YEAR,Value_SP500_SALES_GROWTH_YEAR,Value_SP500_SALES_QUARTER,Value_SP500_REAL_SALES_GROWTH_QUARTER,Value_SP500_SALES_GROWTH_QUARTER,Value_SP500_REAL_SALES_GROWTH_YEAR,Value_SP500_REAL_EARNINGS_GROWTH_YEAR,Value_SP500_REAL_SALES_YEAR,Value_SP500_REAL_EARNINGS_GROWTH_QUARTER,Value_SP500_EARNINGS_GROWTH_QUARTER,Value_SP500_REAL_SALES_QUARTER,Value_SP500_EARNINGS_MONTH,Value_SP500_BVPS_YEAR,Value_SP500_EARNINGS_YEAR,Value_SP500_EARNINGS_GROWTH_YEAR,Value_SP500_BVPS_QUARTER
4.34,,13.02,11.63,7.68,102.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6.91,,,,,,7.06,,,,,,,,,,,,,,,,,,,,,,,7.84,,,,
4.18,,12.79,11.63,7.82,101.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7.18,,,,,,7.32,,,,,,,,,,,,,,,,,,,,,,,7.97,,,,
4.15,,12.97,11.88,7.71,104.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7.23,,,,,,7.52,,,,,,,,,,,,,,,,,,,,,,,8.02,,,,
4.1,,13.09,11.75,7.64,102.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7.32,,,,,,7.52,,,,,,,,,,,,,,,,,,,,,,,7.85,,,,
3.93,,12.81,11.18,7.8,97.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7.63,,,,,,7.45,,,,,,,,,,,,,,,,,,,,,,,7.62,,,,
3.69,,12.3,10.42,8.13,90.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8.13,,,,,,7.38,,,,,,,,,,,,,,,,,,,,,,,7.38,,,,
3.67,,12.51,10.2,7.99,88.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8.17,,,,,,7.25,,,,,,,,,,,,,,,,,,,,,,,7.08,,,,
3.6,,12.56,9.94,7.96,86.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8.33,,,,,,7.18,,,,,,,,,,,,,,,,,,,,,,,6.87,,,,
3.58,,12.79,9.74,7.82,84.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8.38,,,,,,7.06,7.06,,,,,,8.38,,,,,,,,,,,,,,,,6.59,,6.59,,
3.55,,12.6,9.52,7.94,82.06,,,,,,,9.52,12.6,,,7.94,,82.06,,,,,,,,,,,,,,,,
,8.19,,,,,,6.72,,,,,,,,,,,,,,,,,,,,,,,6.51,,,,
3.34,,11.79,9.23,8.48,79.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8.43,,,,,,6.68,,,,,,,,,,,,,,,,,,,,,,,6.72,,,,
3.17,,11.12,9.2,8.99,78.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8.6,,,,,,6.77,,,,,,,,,,,,,,,,,,,,,,,7.08,,,,
2.94,,10.25,8.31,9.75,71.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8.96,,,,,,6.36,,,,,,,,,,,,,,,,,,,,,,,6.92,,,,
2.94,,10.2,8.18,9.81,69.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8.65,,,,,,6.03,,,,,,,,,,,,,,,,,,,,,,,6.84,,,,
2.73,,9.41,8.05,10.62,68.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8.97,,,,,,6.14,,,,,,,,,,,,,,,,,,,,,,,7.27,,,,
2.85,,9.77,8.35,10.24,70.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8.27,,,,,,5.86,,,,,,,,,,,,,,,,,,,,,,,7.25,,,,
3.05,,10.4,9.29,9.62,78.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7.43,,,,,,5.85,,,,,,,,,,,,,,,,,,,,,,,7.57,,,,
3.24,,10.98,9.99,9.1,84.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6.71,,,,,,5.67,,,,,,,,,,,,,,,,,,,,,,,7.69,,,,
3.31,,11.16,10.22,8.96,86.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6.29,,,,,,5.43,,,,,,,,,,,,,,,,,,,,,,,7.74,,,,
3.26,,10.93,10.27,9.15,86.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6.11,,,,,,5.3,,,,,,,,,,,,,,,,,,,,,,,7.93,,,,
3.25,,10.83,10.25,9.23,86.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.85,,,,,,5.05,5.05,,,,,,5.85,,,,,,,,,,,,,,,,7.98,,7.98,,
3.25,,10.8,10.57,9.26,89.04,,,,,,,10.57,10.8,,,9.26,,89.04,,,,,,,,,,,,,,,,
,5.82,,,,,,5.18,,,,,,,,,,,,,,,,,,,,,,,8.24,,,,
3.18,,10.54,10.45,9.49,88.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.92,,,,,,5.22,,,,,,,,,,,,,,,,,,,,,,,8.36,,,,
3.24,,10.71,10.88,9.34,91.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.79,,,,,,5.3,,,,,,,,,,,,,,,,,,,,,,,8.56,,,,
3.33,,10.98,11.29,9.11,95.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.61,,,,,,5.33,,,,,,,,,,,,,,,,,,,,,,,8.67,,,,
3.34,,10.98,11.71,9.11,98.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.56,,,,,,5.49,,,,,,,,,,,,,,,,,,,,,,,8.99,,,,
3.41,,11.18,12.21,8.94,103.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.43,,,,,,5.59,,,,,,,,,,,,,,,,,,,,,,,9.22,,,,
3.48,,11.38,12.31,8.79,103.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.29,,,,,,5.5,,,,,,,,,,,,,,,,,,,,,,,9.13,,,,
3.45,,11.25,12.06,8.89,101.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.31,,,,,,5.42,,,,,,,,,,,,,,,,,,,,,,,9.06,,,,
3.52,,11.45,12.3,8.74,103.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.18,,,,,,5.39,,,,,,,,,,,,,,,,,,,,,,,9.08,,,,
3.48,,11.29,12.28,8.86,103.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.22,,,,,,5.42,,,,,,,,,,,,,,,,,,,,,,,9.2,,,,
3.47,,11.22,12.37,8.91,104.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.21,,,,,,5.46,,,,,,,,,,,,,,,,,,,,,,,9.34,,,,
3.45,,11.13,12.58,8.99,106.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.22,,,,,,5.56,5.56,,,,,,5.22,,,,,,,,,,,,,,,,9.58,,9.58,,
3.58,,11.34,12.87,8.82,109.34,,,,,,,12.87,11.34,,,8.82,,109.34,,,,,,,,,,,,,,,,
,5.08,,,,,,5.55,,,,,,,,,,,,,,,,,,,,,,,9.65,,,,
3.71,,11.53,13.18,8.67,112.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.94,,,,,,5.54,,,,,,,,,,,,,,,,,,,,,,,9.72,,,,
3.65,,11.15,13.09,8.97,111.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.07,,,,,,5.65,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,
3.77,,11.31,13.66,8.84,116.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.95,,,,,,5.77,,,,,,,,,,,,,,,,,,,,,,,10.3,,,,
3.94,,11.62,14.25,8.61,121.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.78,,,,,,5.82,,,,,,,,,,,,,,,,,,,,,,,10.49,,,,
3.96,,11.48,14.45,8.71,123.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.8,,,,,,5.94,,,,,,,,,,,,,,,,,,,,,,,10.78,,,,
4.04,,11.52,14.54,8.68,124.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.75,,,,,,5.93,,,,,,,,,,,,,,,,,,,,,,,10.84,,,,
4.07,,11.41,14.61,8.76,125.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.75,,,,,,5.98,,,,,,,,,,,,,,,,,,,,,,,11.03,,,,
4.22,,11.64,14.59,8.59,125.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.62,,,,,,5.82,,,,,,,,,,,,,,,,,,,,,,,10.82,,,,
4.68,,12.71,15.29,7.87,132.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.2,,,,,,5.56,,,,,,,,,,,,,,,,,,,,,,,10.42,,,,
4.93,,13.17,15.26,7.59,132.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.02,,,,,,5.32,,,,,,,,,,,,,,,,,,,,,,,10.05,,,,
4.92,,12.95,14.77,7.72,128.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.07,,,,,,5.21,5.21,,,,,,4.07,,,,,,,,,,,,,,,,9.91,,9.91,,
5.11,,13.13,14.87,7.62,129.35,,,,,,,14.87,13.13,,,7.62,,129.35,,,,,,,,,,,,,,,,
,4.01,,,,,,5.19,,,,,,,,,,,,,,,,,,,,,,,9.85,,,,
5.2,,13.06,15.12,7.66,131.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.04,,,,,,5.32,,,,,,,,,,,,,,,,,,,,,,,10.08,,,,
5.3,,13.01,15.23,7.69,132.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.06,,,,,,5.39,,,,,,,,,,,,,,,,,,,,,,,10.21,,,,
5.18,,12.43,15.46,8.04,135.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.25,,,,,,5.74,,,,,,,,,,,,,,,,,,,,,,,10.86,,,,
4.77,,11.2,14.63,8.93,128.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.72,,,,,,6.04,,,,,,,,,,,,,,,,,,,,,,,11.43,,,,
4.79,,11.01,14.95,9.08,131.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.8,,,,,,6.3,,,,,,,,,,,,,,,,,,,,,,,11.92,,,,
5.01,,11.28,15.59,8.87,137.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.69,,,,,,6.44,,,,,,,,,,,,,,,,,,,,,,,12.17,,,,
